city,city_ascii,lat,lng,country,population
Anjōmachi,Anjomachi,34.9667,137.0833,Japan,188181
Jōetsu,Joetsu,37.15,138.2333,Japan,189881
Kōfu,Kofu,35.6667,138.5667,Japan,188406
Tottori,Tottori,35.5011,134.235,Japan,188740
Tachikawa,Tachikawa,35.6939,139.4194,Japan,180880
Izuo,Izuo,34.4836,135.4236,Japan,185208
Toyokawa,Toyokawa,34.8268,137.3759,Japan,183823
Uji,Uji,34.8808,135.7794,Japan,180975
Narashino,Narashino,35.6808,140.0267,Japan,173716
Hitachi,Hitachi,36.6,140.65,Japan,176069
Kamakurayama,Kamakurayama,35.3197,139.5525,Japan,172262
Ōbiraki,Obiraki,40.57,140.47,Japan,174972
Takaoka,Takaoka,42.6504,141.55,Japan,174806
Beppuchō,Beppucho,42.9304,143.17,Japan,173890
Izumo,Izumo,35.3681,132.755,Japan,172784
Sakura,Sakura,35.7239,140.2239,Japan,170906
Niiza,Niiza,35.7933,139.5653,Japan,164083
Nishio,Nishio,34.8667,137.0667,Japan,169926
Oyama,Oyama,36.3147,139.8003,Japan,167633
Takaoka,Takaoka,36.75,137.0333,Japan,167800
Iwata,Iwata,34.7178,137.8514,Japan,166393
Ube,Ube,33.9517,131.2467,Japan,164325
Matsuzaka,Matsuzaka,34.5781,136.5275,Japan,160080
Ōgaki,Ogaki,35.3594,136.6128,Japan,158911
Higashi-murayama,Higashi-murayama,35.7547,139.4686,Japan,150186
Hitachi-Naka,Hitachi-Naka,36.3964,140.5344,Japan,155680
Daiwanishi,Daiwanishi,34.83,135.4172,Japan,153597
Kariya,Kariya,34.9833,137,Japan,153190
Tochigi,Tochigi,36.3824,139.7341,Japan,155714
Tama,Tama,35.6333,139.45,Japan,147832
Ueda,Ueda,36.4019,138.2492,Japan,154201
Noda,Noda,35.955,139.8747,Japan,152652
Kukichūō,Kukichuo,36.0622,139.6669,Japan,151106
Sayama,Sayama,35.8531,139.4122,Japan,149423
Imabari,Imabari,34.0661,132.9978,Japan,151956
Komaki,Komaki,35.2833,136.9167,Japan,148709
Iruma,Iruma,35.8358,139.3911,Japan,146802
Shimotoda,Shimotoda,35.8175,139.6778,Japan,141724
Yonago,Yonago,35.4281,133.3311,Japan,147667
Misato,Misato,35.8303,139.8725,Japan,141514
Kakamigahara,Kakamigahara,35.3989,136.8486,Japan,144335
